skin_name,weapon_type,base_price_vp,discount_percent,final_price_vp,region,rank,age_group,avg_monthly_spend,previous_purchases,wishlist_added,event_active,purchased
Glitchpop,Classic,2175,30,1522.5,Asia,Diamond,21-25,4470,19,0,1,False
Glitchpop,Classic,2175,20,1740.0,Asia,Platinum,26-30,2782,6,0,1,True
Overdrive,Stinger,2175,30,1522.5,EU,Diamond,16-20,2463,1,0,0,False
Araxys,Vandal,2175,0,2175.0,NA,Platinum,16-20,3094,9,1,1,True
Forsaken,Spectre,1775,20,1420.0,Asia,Radiant,21-25,2801,3,0,1,False
Radiant,Ghost,2975,10,2677.5,EU,Radiant,21-25,1408,7,0,0,False
Mystbloom,Outlaw,2175,10,1957.5,Asia,Platinum,16-20,3046,0,1,0,False
Prime,Guardian,1775,20,1420.0,Asia,Immortal,26-30,3549,11,1,1,True
Radiant,Ghost,2975,30,2082.5,Asia,Radiant,26-30,2088,17,1,1,True
Gaia,Vandal,1775,20,1420.0,EU,Gold,16-20,825,6,0,1,False
Evori,Melee,4950,0,4950.0,EU,Gold,26-30,540,19,0,0,True
Ion,Bucky,1775,0,1775.0,Asia,Iron,16-20,2586,12,1,0,True
Elderflame,Frenzy,2475,10,2227.5,Asia,Silver,16-20,1425,10,1,1,False
Kuronami,Sheriff,2375,20,1900.0,EU,Gold,21-25,3723,10,0,0,False
Reaver,Bandit,1775,30,1242.5,Asia,Immortal,26-30,4836,19,1,1,True
Elderflame,Frenzy,2475,20,1980.0,EU,Radiant,26-30,3689,8,0,1,True
Radiant,Ghost,2975,20,2380.0,Asia,Platinum,26-30,3120,16,0,0,True
Radiant,Ghost,2975,10,2677.5,Asia,Silver,26-30,2392,0,1,0,False
Imperium,Judge,2175,30,1522.5,EU,Platinum,21-25,1272,18,0,1,False
Elderflame,Frenzy,2475,10,2227.5,EU,Immortal,26-30,3453,17,1,0,True
Radiant,Ghost,2975,0,2975.0,NA,Gold,21-25,3241,3,1,1,False
Spectrum,Phantom,2675,30,1872.4999999999998,Asia,Bronze,16-20,4080,17,0,0,False
Singularity,Ares,2175,0,2175.0,Asia,Radiant,16-20,4343,5,0,0,False
Radiant,Ghost,2975,0,2975.0,NA,Radiant,26-30,2349,0,1,0,False
Forsaken,Spectre,1775,0,1775.0,Asia,Bronze,21-25,2145,14,1,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,EU,Radiant,21-25,3621,0,1,0,True
Overdrive,Stinger,2175,0,2175.0,EU,Silver,16-20,1109,4,0,0,False
RGX,Operator,2175,0,2175.0,NA,Immortal,16-20,1852,17,1,1,True
Evori,Melee,4950,10,4455.0,Asia,Diamond,21-25,3040,1,0,0,False
Araxys,Vandal,2175,0,2175.0,Asia,Bronze,16-20,4053,7,0,0,False
Araxys,Vandal,2175,20,1740.0,Asia,Radiant,21-25,3999,8,1,0,True
Forsaken,Spectre,1775,30,1242.5,EU,Platinum,16-20,4001,14,1,0,True
